Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0001568~blood vessel development	79	3.48324515	4.38E-15	NRP2, FGF9, PDGFA, PGF, EDN1, PRRX1, CSPG4, ANPEP, PRRX2, JAG1, MMP2, TGFB2, CITED2, EDNRA, ARHGAP22, HEY1, CTGF, CXCR4, FOXF1, HEY2, ROBO4, SEMA3C, RHOB, SOX18, ANGPT1, MKL2, LOX, FGF1, CYR61, APOLD1, ARHGAP24, PROX1, SLIT2, SMO, VEGFC, MIB1, VEGFA, FOXC1, COL1A1, CAV1, TNFRSF12A, TIPARP, CDH2, TCF7L2, WT1, GJC1, ZFP36L1, ACE, HOXA3, PTK2B, ITGAV, TGM2, PKD1, ZC3H12A, HS6ST1, THBS1, EGF, PLXND1, PPAP2B, RASA1, ANGPTL4, COL18A1, PLAT, BMP4, B4GALT1, EPAS1, IL8, MYO1E, COL15A1, ITGA4, COL5A1, CDH13, HDAC3, NOTCH1, LAMA5, BAX, TGFBR3, RBPJ, PLAU	1737	245	13528	2.511277948	1.91E-11	1.91E-11	8.13E-12
GOTERM_BP_FAT	GO:0001944~vasculature development	80	3.527336861	5.88E-15	NRP2, FGF9, PDGFA, PGF, EDN1, PRRX1, CSPG4, ANPEP, PRRX2, JAG1, MMP2, TGFB2, CITED2, EDNRA, ARHGAP22, HEY1, CTGF, CXCR4, FOXF1, HEY2, ROBO4, SEMA3C, RHOB, SOX18, ANGPT1, MKL2, LOX, FGF1, CYR61, APOLD1, ARHGAP24, PROX1, SLIT2, SMO, VEGFC, MIB1, VEGFA, FOXC1, COL1A1, ZFAND5, CAV1, TNFRSF12A, TIPARP, CDH2, TCF7L2, WT1, GJC1, ZFP36L1, ACE, HOXA3, PTK2B, ITGAV, TGM2, PKD1, ZC3H12A, HS6ST1, THBS1, EGF, PLXND1, PPAP2B, RASA1, ANGPTL4, COL18A1, PLAT, BMP4, B4GALT1, EPAS1, IL8, MYO1E, COL15A1, ITGA4, COL5A1, CDH13, HDAC3, NOTCH1, LAMA5, BAX, TGFBR3, RBPJ, PLAU	1737	251	13528	2.482275848	2.59E-11	1.29E-11	1.10E-11
GOTERM_BP_FAT	GO:0048514~blood vessel morphogenesis	69	3.042328042	1.31E-13	NRP2, FGF9, PDGFA, PGF, EDN1, PRRX1, CSPG4, ANPEP, JAG1, PRRX2, TGFB2, CITED2, EDNRA, ARHGAP22, HEY1, CTGF, CXCR4, FOXF1, HEY2, ROBO4, SEMA3C, RHOB, SOX18, ANGPT1, MKL2, FGF1, CYR61, APOLD1, ARHGAP24, PROX1, SLIT2, SMO, VEGFC, VEGFA, FOXC1, CAV1, TNFRSF12A, TIPARP, CDH2, WT1, GJC1, ZFP36L1, ACE, HOXA3, PTK2B, TGM2, ZC3H12A, HS6ST1, PLXND1, EGF, THBS1, RASA1, ANGPTL4, COL18A1, PLAT, BMP4, B4GALT1, EPAS1, IL8, MYO1E, COL15A1, ITGA4, CDH13, HDAC3, NOTCH1, LAMA5, BAX, RBPJ, PLAU	1737	211	13528	2.546832666	5.77E-10	1.92E-10	2.46E-10
GOTERM_BP_FAT	GO:0043009~chordate embryonic development	92	4.05643739	4.29E-13	DLC1, ALS2, NOG, NBN, XRCC2, NDST1, FGF9, EDN1, ARNT2, PRRX1, ZEB2, ZEB1, PRRX2, DLK1, GLI2, GLI3, ZIC2, CITED2, EDNRA, HOXC6, GATA2, DAB2, GATA6, FOXF1, MKL2, ALX4, AR, EOMES, LEF1, DLL1, MECOM, PROX1, SMO, MIB1, MSX1, EP300, PSEN2, SIX1, TGIF1, FOXC1, KIAA1217, COL1A1, WNT9A, ZFAND5, LIMS1, SHROOM3, C5, PRKDC, COL2A1, KEAP1, BCL2L1, TPM1, TCF7L2, PFN1, ECE1, HOXA3, HOXA5, TEAD4, HOXA7, BTF3, PKD1, HOXA9, AXIN2, APBA1, BMP4, CEBPB, CUBN, EPAS1, LMX1B, HTT, MYO1E, CELSR1, FZD6, HOXB3, HOXB4, DLX2, TJP1, DLX1, HOXB2, SFRP1, HOXB7, MEOX1, HOXB8, ENDOG, HOXB5, HOXB6, HOPX, MAPK8IP3, TGFBR3, HOXB9, RBPJ, MYH10	1737	331	13528	2.164679527	1.89E-09	4.72E-10	8.06E-10
GOTERM_BP_FAT	GO:0009792~embryonic development ending in birth or egg hatching	92	4.05643739	7.56E-13	DLC1, ALS2, NOG, NBN, XRCC2, NDST1, FGF9, EDN1, ARNT2, PRRX1, ZEB2, ZEB1, PRRX2, DLK1, GLI2, GLI3, ZIC2, CITED2, EDNRA, HOXC6, GATA2, DAB2, GATA6, FOXF1, MKL2, ALX4, AR, EOMES, LEF1, DLL1, MECOM, PROX1, SMO, MIB1, MSX1, EP300, PSEN2, SIX1, TGIF1, FOXC1, KIAA1217, COL1A1, WNT9A, ZFAND5, LIMS1, SHROOM3, C5, PRKDC, COL2A1, KEAP1, BCL2L1, TPM1, TCF7L2, PFN1, ECE1, HOXA3, HOXA5, TEAD4, HOXA7, BTF3, PKD1, HOXA9, AXIN2, APBA1, BMP4, CEBPB, CUBN, EPAS1, LMX1B, HTT, MYO1E, CELSR1, FZD6, HOXB3, HOXB4, DLX2, TJP1, DLX1, HOXB2, SFRP1, HOXB7, MEOX1, HOXB8, ENDOG, HOXB5, HOXB6, HOPX, MAPK8IP3, TGFBR3, HOXB9, RBPJ, MYH10	1737	334	13528	2.145236298	3.33E-09	6.65E-10	1.42E-09
GOTERM_BP_FAT	GO:0060284~regulation of cell development	64	2.821869489	1.08E-11	NOG, NBN, LZTS1, XRCC2, PPARG, EDN1, REST, GLI2, TGFB1, TGFB2, ACTR3, NRCAM, CASP6, TIAM1, CDK5RAP2, ARHGEF1, PTPRF, PLXNB1, DLL1, VAX1, PROX1, SLIT2, SMO, VEGFC, MIB1, SERPINF1, SIX1, TGIF1, TGFB1I1, DBN1, UBA52, TNFRSF12A, HOXA11, SOX2, CDH2, KIT, TIMP2, CDH4, TTC3, EPHB2, MBNL3, CD24, DNMT3B, COL4A4, BMP4, B4GALT1, NLGN1, SMAD3, IGF2, SMAD1, ISL1, NTN1, RUFY3, HDAC5, NOTCH3, DLX2, HDAC4, HDAC3, NOTCH1, DLX1, BAX, TGFBR3, BMP7, CACNA1A	1737	205	13528	2.431419464	4.77E-08	7.95E-09	2.04E-08
GOTERM_BP_FAT	GO:0001501~skeletal system development	86	3.791887125	1.58E-11	NOG, PDLIM7, NDST1, FGF9, LTBP3, TCOF1, EDN1, PRRX1, ZEB1, PRRX2, DLK1, GLI2, MMP2, GLI3, TGFB1, HOXC6, TNFRSF11B, HOXC8, CTGF, COL12A1, ALX4, PITX1, EGFR, UFD1L, MMP13, HOXC10, SMO, MSX1, HOXC11, GNAQ, SIX1, SORT1, FOXC1, STC1, KIAA1217, COL1A1, WNT9A, FGFR1, ZFAND5, HOXA11, TIPARP, CYTL1, COL2A1, MSX2, VDR, HOXA3, HOXA5, TEAD4, HOXA7, PTN, PKD1, HOXA9, AXIN2, PAPSS2, RUNX2, BMP4, EVC, COL13A1, SMAD3, IGF2, NPR3, SMAD1, WWTR1, COL5A2, SHOX2, HOXB3, HDAC4, HOXB4, MEF2D, DLX2, DLX1, HOXB2, COL19A1, HOXB7, HOXB8, TRPS1, ETS2, HOXB5, HOXB6, HOXB9, BMPR1B, BMP7, BMP8B, IGFBP4, BMP5, CDH11	1737	319	13528	2.099624077	6.95E-08	9.92E-09	2.96E-08
GOTERM_BP_FAT	GO:0001666~response to hypoxia	46	2.028218695	4.01E-10	CAV1, PDGFB, PGF, PDGFA, ALDOC, ARNT2, EDN1, BNIP3, PDLIM1, BCL2L1, MMP2, TGFB1, CITED2, TGFB2, EDNRA, SLC11A2, ACE, LONP1, ECE1, PLOD1, CXCR4, PLOD2, PTK2B, CAMK2D, ANGPT1, CD24, THBS1, ANGPTL4, KCNMA1, PLAT, SLC8A1, EPAS1, SOCS3, APOLD1, SMAD3, ITGA2, MMP13, ITPR2, EP300, TFRC, ADM, VEGFA, PSEN2, RYR1, RYR2, PLAU	1737	134	13528	2.673540759	1.76E-06	2.20E-07	7.52E-07
GOTERM_BP_FAT	GO:0070482~response to oxygen levels	47	2.072310406	7.58E-10	CAV1, PDGFB, PGF, PDGFA, ALDOC, ARNT2, EDN1, BNIP3, PDLIM1, BCL2L1, MMP2, TGFB1, CITED2, TGFB2, EDNRA, SLC11A2, ACE, LONP1, ECE1, PLOD1, CXCR4, PLOD2, PTK2B, CAMK2D, ANGPT1, CD24, THBS1, ANGPTL4, KCNMA1, PLAT, SLC8A1, EPAS1, SOCS3, APOLD1, SMAD3, ITGA2, MMP13, ITPR2, CDKN1A, EP300, ADM, TFRC, VEGFA, PSEN2, RYR1, RYR2, PLAU	1737	141	13528	2.596046824	3.33E-06	3.70E-07	1.42E-06
GOTERM_BP_FAT	GO:0007389~pattern specification process	72	3.174603175	8.32E-10	BMI1, NOG, EDN1, FST, ZEB2, ZEB1, GLI2, GLI3, CITED2, HOXC6, EDNRA, BARX1, HOXC8, CXCR4, FOXF1, ALX4, CYR61, ARC, EFNB1, LEF1, DLL1, CTNNBIP1, HOXC10, SMO, MIB1, EP300, HOXC11, BTG2, HIPK2, PSEN2, VEGFA, SIX1, TGIF1, SHROOM3, TSHZ1, HOXA11, PRKDC, GREM1, HOXA1, HOXA3, LHX1, HOXA5, HOXA7, HOXA9, PLXND1, BCOR, AXIN2, LFNG, MLLT3, BMP4, KIF3B, LMX1B, HTT, SMAD6, SMAD1, HOXB3, HOXB4, DLX2, NOTCH1, DLX1, HOXB2, SFRP1, HOXB7, MEOX1, HOXB8, HOXB5, HOXB6, HOXB9, BMPR1B, BMP7, RBPJ, BMP5	1737	267	13528	2.100172712	3.66E-06	3.66E-07	1.56E-06
